poem_line,cluster_label,tsne_dim1,tsne_dim2
得与尔同归,12,20.165447,-26.429663
南陌征人去不归,3,-27.246058,-14.423378
谁家今夜捣寒衣,17,-7.7481256,-30.175804
雁飞萤度愁难歇,5,-33.585903,-4.034193
明河可望不可亲,3,-23.928679,-19.491093
愿得乘槎一问津,16,30.31473,-9.217692
酣歌一曲太平人,2,49.612167,-7.256367
感物思归怀故乡,17,-2.311229,-25.891273
猿声今夜断君肠,11,-54.653194,-7.1273026
魂随南翥鸟,16,7.983926,-10.414427
泪尽北枝花,11,-45.7533,-11.380308
但令归有日,16,20.502811,-16.437637
我行殊未已,16,-6.963026,0.09196475
何日复归来,17,5.336231,-19.9897
近乡情更怯,10,-9.399469,12.769575
不敢问来人,10,-9.361537,14.594044
可怜闺里月,3,-49.76873,-14.035957
少妇今春意,0,16.169369,-37.393837
良人昨夜情,0,16.732206,-32.624474
谁能将旗鼓,16,28.38116,27.730011
一为取龙城,15,39.073734,34.397373
浮客空留听,9,-17.981346,-22.124565
褒城闻曙鸡,14,22.260998,-14.048648
长歌游宝地,2,41.907227,5.8837743
归路烟霞晚,8,39.998306,-19.42403
不能怀魏阙,7,-6.701989,26.196972
心赏独泠然,8,37.218815,-26.336132
去国离家见白云,17,-8.724223,-18.58266
崇山瘴疠不堪闻,13,-36.484333,15.899074
何时重谒圣明君,16,7.6867437,-18.647568
此日可怜君自许,7,3.4404244,11.574711
此时可喜得人情,14,52.44585,-8.984465
辞君去君终不忍,3,-23.26019,-8.464026
徒劳掩袂伤铅粉,7,-22.546255,5.653191
一代红颜为君尽,0,-14.420379,8.302125
芊蔚何青青,14,31.232363,-19.820757
岁华尽摇落,6,-18.45494,-2.696374
芳意竟何成,7,-16.424427,27.926907
今古缅荒途,6,-34.46389,-20.391737
暴骨无全躯,1,-45.733078,20.19375
谁怜塞上孤,17,-13.897298,-12.536425
昏噎无昼夜,13,-27.873114,17.047369
羽檄复相惊,10,6.8502345,41.174778
籍籍峰壑里,9,9.658775,2.7637353
哀哀冰雪行,11,-43.41369,4.666644
肉食谋何失,18,-0.11200916,26.114216
藜霍缅纵横,18,12.307989,3.380317
哀哀明月楼,5,-43.755695,-4.1789513
每愤胡兵入,1,-4.4536314,33.000195
常为汉国羞,7,-7.133239,31.501835
何知七十战,15,36.691338,29.035679
白首未封侯,7,-16.040476,29.135885
本为贵公子,4,23.33718,30.000927
平生实爱才,12,24.747929,8.200217
感时思报国,15,-8.172772,27.420782
拔剑起蒿莱,15,36.863373,32.163418
怀古心悠哉,16,6.477847,-14.738722
谁言未忘祸,7,-0.16998991,22.318024
独怆然而涕下,11,-57.116287,4.3858995
如何此时恨,7,-4.0350556,30.974108
噭噭夜猿鸣,9,-47.466236,-3.1199474
匈奴犹未灭,1,-4.824331,28.987785
怅别三河道,3,-31.64237,-12.552577
王师非乐战,15,35.658962,29.01491
之子慎佳兵,10,-5.1380544,16.317295
莫卖卢龙塞,16,8.959932,9.266078
归邀麟阁名,4,46.029377,22.349226
今日狂歌客,2,47.902103,1.6195438
谁知入楚来,19,2.8182857,-8.900438
宁知班定远,16,9.814487,9.560553
犹是一书生,18,13.431281,23.195196
少小离家老大回,17,-15.211885,-6.006912
乡音无改鬓毛衰,6,-15.1894,-6.141558
青枫浦上不胜愁,5,-37.358185,-3.3071532
可怜楼上月徘徊,3,-49.847786,-13.947243
应照离人妆镜台,3,-22.12491,-11.193765
愿逐月华流照君,0,7.5032077,-35.31278
可怜春半不还家,3,-50.612473,-14.392883
落月摇情满江树,0,8.015445,-32.4086
良工咨嗟叹奇绝,4,35.22405,-8.46343
何言中路遭弃捐,7,-17.529442,30.430214
虽复沉埋无所用,7,-14.935468,29.630264
犹能夜夜气冲天,15,42.35649,25.176907
死生随玉剑,15,19.790142,25.486185
辛苦向金微,13,-31.536459,22.814272
久戍人将老,6,-34.92393,12.390925
长征马不肥,16,-6.528897,1.6569422
唯有秋风愁杀人,5,-35.25168,0.6596546
能忘迟暮心,16,17.103315,-4.401236
不作边城将,16,8.692658,9.523946
谁知恩遇深,12,17.422443,10.387948
心随湖水共悠悠,8,41.80908,-21.977068
欣欣此生意,14,27.826918,-16.819042
谁知林栖者,19,5.6824517,-0.8120275
闻风坐相悦,14,18.65256,-31.006916
草木有本心,12,21.938663,7.822541
何求美人折,0,13.974322,-39.23698
岂伊地气暖,14,18.874617,-0.85254234
自有岁寒心,15,29.87754,42.92875
奈何阻重深,7,-10.229035,-5.6181626
运命唯所遇,7,-16.518164,35.302956
循环不可寻,19,-3.0806286,-1.6623839
徒言树桃李,18,10.191769,21.49256
此木岂无阴,14,18.767944,-0.82834256
情人怨遥夜,3,-24.50834,-5.4100327
竟夕起相思,17,3.4991245,-35.033985
不堪盈手赠,3,-20.956106,-3.208947
自君之出矣,3,-20.17453,-10.576881
不复理残机,7,4.631276,7.4582067
思君如满月,0,5.0707064,-35.21576
秋来不堪著,5,-44.73372,-9.791324
打起黄莺儿,14,5.871468,13.947118
莫教枝上啼,5,-16.053186,-14.582385
不得到辽西,3,-10.835303,1.539533
欲穷千里目,16,45.017086,15.533981
更上一层楼,4,44.906746,15.607227
羌笛何须怨杨柳,5,-40.76906,-0.78169817
日暮忧思多,5,-32.362648,0.68869597
人生知几何,6,-23.594007,-35.984093
